sample,t,x
1,1,e
1,2,e
1,3,e
1,4,d
1,5,e
1,6,a
1,7,e
1,8,a
1,9,e
1,10,c
1,11,d
1,12,a
1,13,e
1,14,e
1,15,d
1,16,a
1,17,c
1,18,d
1,19,b
1,20,d
1,21,a
1,22,c
1,23,d
1,24,a
1,25,e
1,26,c
1,27,a
1,28,b
1,29,e
1,30,d
1,31,e
1,32,d
1,33,a
1,34,e
1,35,d
1,36,e
1,37,d
1,38,e
1,39,c
1,40,d
1,41,e
1,42,d
1,43,a
1,44,e
1,45,c
1,46,d
1,47,d
1,48,e
1,49,d
1,50,e
1,51,d
1,52,a
2,1,d
2,2,e
2,3,b
2,4,b
2,5,e
2,6,c
2,7,d
2,8,a
2,9,e
2,10,c
2,11,d
2,12,b
2,13,e
2,14,d
2,15,e
2,16,a
2,17,e
2,18,c
2,19,d
2,20,e
2,21,d
2,22,a
2,23,c
2,24,d
2,25,d
2,26,e
2,27,c
2,28,d
2,29,e
2,30,c
2,31,d
2,32,a
2,33,b
2,34,b
2,35,b
2,36,b
2,37,b
2,38,b
2,39,c
2,40,a
2,41,e
2,42,e
2,43,c
2,44,d
2,45,e
3,1,d
3,2,e
3,3,d
3,4,b
3,5,b
3,6,d
3,7,e
3,8,c
3,9,d
3,10,e
3,11,d
3,12,d
3,13,a
3,14,e
3,15,c
3,16,b
3,17,c
3,18,d
3,19,c
3,20,d
3,21,d
3,22,b
3,23,b
3,24,a
3,25,e
3,26,a
3,27,e
3,28,a
3,29,e
3,30,c
3,31,d
3,32,e
3,33,b
3,34,b
3,35,c
3,36,d
3,37,e
3,38,c
3,39,d
3,40,c
3,41,d
3,42,b
3,43,d
3,44,a
3,45,e
3,46,a
3,47,e
3,48,d
3,49,e
3,50,c
3,51,a
3,52,b
3,53,b
3,54,c
3,55,a
3,56,e
3,57,d
3,58,e
3,59,c
3,60,d
4,1,d
4,2,c
4,3,d
4,4,e
4,5,e
4,6,e
4,7,b
4,8,b
4,9,b
4,10,b
4,11,b
4,12,c
4,13,d
4,14,b
4,15,d
4,16,a
4,17,d
4,18,b
4,19,d
4,20,d
4,21,e
4,22,c
4,23,e
4,24,c
4,25,e
4,26,d
4,27,e
4,28,d
4,29,e
4,30,a
4,31,e
4,32,d
4,33,e
4,34,c
4,35,b
4,36,e
4,37,b
4,38,b
4,39,d
4,40,c
4,41,a
4,42,b
4,43,e
4,44,d
5,1,e
5,2,e
5,3,e
5,4,b
5,5,d
5,6,e
5,7,a
5,8,d
5,9,d
5,10,d
5,11,e
5,12,d
5,13,a
5,14,e
5,15,e
5,16,d
5,17,e
5,18,c
5,19,d
5,20,c
5,21,a
5,22,e
5,23,b
5,24,a
5,25,e
5,26,c
5,27,a
5,28,d
5,29,d
5,30,e
5,31,c
5,32,d
5,33,e
5,34,e
5,35,a
5,36,e
5,37,d
5,38,c
5,39,d
5,40,a
5,41,b
6,1,d
6,2,c
6,3,d
6,4,e
6,5,a
6,6,e
6,7,c
6,8,d
6,9,e
6,10,c
6,11,a
6,12,d
6,13,a
6,14,e
6,15,d
6,16,d
6,17,c
6,18,a
6,19,e
6,20,c
6,21,d
6,22,d
6,23,d
6,24,e
6,25,c
6,26,a
6,27,e
6,28,c
6,29,d
6,30,a
6,31,e
6,32,d
6,33,d
6,34,d
6,35,c
6,36,e
6,37,d
6,38,e
6,39,c
6,40,d
6,41,e
6,42,a
6,43,e
6,44,b
6,45,e
6,46,c
6,47,d
6,48,c
6,49,c
6,50,d
6,51,b
6,52,b
6,53,b
6,54,b
7,1,e
7,2,e
7,3,e
7,4,a
7,5,e
7,6,e
7,7,d
7,8,e
7,9,b
7,10,b
7,11,b
7,12,b
7,13,b
7,14,b
7,15,e
7,16,c
7,17,d
7,18,b
7,19,d
7,20,b
7,21,b
7,22,b
7,23,b
7,24,b
7,25,e
7,26,c
7,27,d
7,28,e
7,29,d
7,30,a
7,31,e
7,32,b
7,33,b
7,34,b
7,35,d
7,36,e
7,37,d
7,38,c
7,39,d
7,40,e
7,41,d
7,42,a
7,43,c
7,44,d
7,45,e
7,46,d
7,47,c
7,48,a
7,49,e
7,50,c
7,51,d
7,52,a
7,53,e
7,54,d
7,55,e
7,56,d
7,57,d
7,58,b
7,59,b
